fc,rm,auc.train,auc.val.avg,auc.diff,or.10p.avg,AICc,delta.AICc,ncoef
LQHP,2,0.9143753849069117,0.8358826311538134,0.07849275375309828,0.1131578947368421,10711.500625131926,0,77
LQHP,3,0.908436896321211,0.8332422838194031,0.07519461250180792,0.10789473684210527,10725.772914269515,14.272289137588814,55
LQHP,4,0.9007724456656192,0.8306002093784542,0.07017223628716496,0.09736842105263158,10729.15728715454,17.65666202261309,37
LQHP,1.5,0.9171569788557803,0.8376631451407193,0.07949383371506102,0.12368421052631579,10732.96487110077,21.464245968843898,90
LQHP,6,0.8825219364041668,0.81871678641272,0.06380514999144671,0.08947368421052632,10803.836834968324,92.33620983639776,25
LQH,2,0.9108580594901595,0.8334071560666609,0.07745090342349858,0.1631578947368421,10804.744103532323,93.24347840039627,77
LQH,1.5,0.9135349061221911,0.8341939195221495,0.07934098660004163,0.16578947368421051,10809.12821241303,97.62758728110384,85
LQH,3,0.9032584837431111,0.8298584835473174,0.07340000019579374,0.16052631578947368,10813.140814673035,101.64018954110907,54
LQH,4,0.894760002316021,0.8272853605135617,0.06747464180245932,0.1473684210526316,10819.732408332393,108.23178320046645,34
LQHP,1,0.9226830577794621,0.8383894598673582,0.08429359791210389,0.14473684210526316,10837.25485945751,125.75423432558273,110
LQH,6,0.8797977166137666,0.8189301504974067,0.060867566116359906,0.13157894736842107,10863.598946898255,152.0983217663288,22
LQ,0.5,0.8946115664197999,0.8320651942862002,0.0625463721335997,0.18157894736842106,10875.731390388702,164.23076525677607,10
LQH,8,0.8738127760144435,0.807614281311113,0.0661984947033305,0.11315789473684211,10895.701104481182,184.20047934925606,22
LQHP,8,0.8737632973823698,0.8014543565598163,0.07230894082255346,0.07631578947368421,10896.347965653069,184.84734052114254,23
LQH,1,0.9179166600870613,0.8323920159850353,0.08552464410202598,0.17894736842105263,10934.350224318538,222.84959918661116,110
LQ,1,0.8927503276643454,0.8307511319190545,0.06199919574529089,0.16578947368421054,10978.48410815759,266.9834830256641,10
LQ,1.5,0.8889702128107547,0.8275462864552334,0.0614239263555213,0.15000000000000002,11067.616160010279,356.11553487835226,9
LQ,2,0.8849582326653718,0.8231422976362555,0.06181593502911631,0.11578947368421053,11110.264456166804,398.7638310348775,9
L,8,0.8141676009706234,0.6616077501913102,0.1525598507793131,0.16578947368421054,11151.395399682322,439.8947745503956,4
LQ,8,0.8502473931603687,0.7314394503018451,0.11880794285852359,0.11052631578947368,11156.949908000914,445.4492828689872,8
LQ,3,0.8763138155920855,0.8127720857069977,0.06354172988508788,0.1,11166.34737939955,454.8467542676244,9
L,6,0.8149387307151768,0.6368911285179832,0.1780476021971935,0.19736842105263158,11179.292298660763,467.7916735288363,5
LQHP,0.5,0.92578126233676,0.8383432265538645,0.08743803578289544,0.16052631578947368,11190.377472654603,478.87684752267705,128
LQ,6,0.8576777414583564,0.7585364233483547,0.09914131811000171,0.11052631578947368,11197.042200064625,485.5415749326985,7
L,4,0.8163817697559229,0.6158305256780886,0.2005512440778343,0.2131578947368421,11210.283278101437,498.7826529695103,5
LQ,4,0.8653669314299851,0.7965278515857496,0.06883907984423554,0.09473684210526316,11213.656147011608,502.15552187968206,8
L,3,0.8170634168680025,0.6067111374457954,0.21035227942220713,0.23157894736842105,11225.605525398896,514.1049002669697,5
L,2,0.8177033492822966,0.598310092679194,0.2193932566031026,0.24736842105263157,11240.806234673973,529.305609542047,5
L,1.5,0.8180296977066127,0.5944791046679704,0.22355059303864233,0.25526315789473686,11248.368457603166,536.86783247124,5
L,1,0.818356309315142,0.5907621056882918,0.22759420362685023,0.2578947368421053,11255.906437166028,544.4058120341015,5
L,0.5,0.818660813449766,0.5868951141484567,0.2317656993013093,0.2631578947368421,11263.411438367983,551.9108132360561,5
LQH,0.5,0.9211346134613462,0.8316561357452598,0.08947847771608641,0.21842105263157896,11292.91306223084,581.4124370989139,153
